,Actual Load
2023-01-01 00:00:00+01:00,39096.12
2023-01-01 00:15:00+01:00,38770.89
2023-01-01 00:30:00+01:00,38640.13
2023-01-01 00:45:00+01:00,38457.21
2023-01-01 01:00:00+01:00,38119.14
2023-01-01 01:15:00+01:00,38014.13
2023-01-01 01:30:00+01:00,38419.37
2023-01-01 01:45:00+01:00,38072.24
2023-01-01 02:00:00+01:00,37648.93
2023-01-01 02:15:00+01:00,37435.28
2023-01-01 02:30:00+01:00,37212.29
2023-01-01 02:45:00+01:00,36931.5
2023-01-01 03:00:00+01:00,36732.31
2023-01-01 03:15:00+01:00,36218.56
2023-01-01 03:30:00+01:00,36092.14
2023-01-01 03:45:00+01:00,36120.29
2023-01-01 04:00:00+01:00,35978.62
2023-01-01 04:15:00+01:00,35774.08
2023-01-01 04:30:00+01:00,35752.61
2023-01-01 04:45:00+01:00,35853.78
2023-01-01 05:00:00+01:00,36009.61
2023-01-01 05:15:00+01:00,36007.45
2023-01-01 05:30:00+01:00,36079.17
2023-01-01 05:45:00+01:00,35911.29
2023-01-01 06:00:00+01:00,35548.78
2023-01-01 06:15:00+01:00,35744.94
2023-01-01 06:30:00+01:00,35505.31
2023-01-01 06:45:00+01:00,35542.21
2023-01-01 07:00:00+01:00,36192.82
2023-01-01 07:15:00+01:00,36418.87
2023-01-01 07:30:00+01:00,36638.45
2023-01-01 07:45:00+01:00,36880.0
2023-01-01 08:00:00+01:00,36611.97
2023-01-01 08:15:00+01:00,36897.97
2023-01-01 08:30:00+01:00,37416.84
2023-01-01 08:45:00+01:00,37846.21
2023-01-01 09:00:00+01:00,38449.96
2023-01-01 09:15:00+01:00,39355.49
2023-01-01 09:30:00+01:00,40030.2
2023-01-01 09:45:00+01:00,40560.35
2023-01-01 10:00:00+01:00,40289.88
2023-01-01 10:15:00+01:00,40978.48
2023-01-01 10:30:00+01:00,41830.83
2023-01-01 10:45:00+01:00,42493.56
2023-01-01 11:00:00+01:00,43023.08
2023-01-01 11:15:00+01:00,44031.13
2023-01-01 11:30:00+01:00,44667.13
2023-01-01 11:45:00+01:00,44766.78
2023-01-01 12:00:00+01:00,44782.92
2023-01-01 12:15:00+01:00,44883.26
2023-01-01 12:30:00+01:00,44627.62
2023-01-01 12:45:00+01:00,44248.34
2023-01-01 13:00:00+01:00,44374.96
2023-01-01 13:15:00+01:00,44154.38
2023-01-01 13:30:00+01:00,43963.9
2023-01-01 13:45:00+01:00,43693.73
2023-01-01 14:00:00+01:00,43655.4
2023-01-01 14:15:00+01:00,43537.0
2023-01-01 14:30:00+01:00,43775.55
2023-01-01 14:45:00+01:00,43613.03
2023-01-01 15:00:00+01:00,44060.87
2023-01-01 15:15:00+01:00,43923.87
2023-01-01 15:30:00+01:00,44158.21
2023-01-01 15:45:00+01:00,44266.45
2023-01-01 16:00:00+01:00,45032.01
2023-01-01 16:15:00+01:00,45635.85
2023-01-01 16:30:00+01:00,46355.17
2023-01-01 16:45:00+01:00,47329.62
2023-01-01 17:00:00+01:00,48596.76
2023-01-01 17:15:00+01:00,49009.69
2023-01-01 17:30:00+01:00,49422.54
2023-01-01 17:45:00+01:00,49679.6
2023-01-01 18:00:00+01:00,49747.83
2023-01-01 18:15:00+01:00,49561.67
2023-01-01 18:30:00+01:00,49244.22
2023-01-01 18:45:00+01:00,48795.74
2023-01-01 19:00:00+01:00,48742.77
2023-01-01 19:15:00+01:00,48191.89
2023-01-01 19:30:00+01:00,47734.93
2023-01-01 19:45:00+01:00,47013.4
2023-01-01 20:00:00+01:00,46483.91
2023-01-01 20:15:00+01:00,45732.23
2023-01-01 20:30:00+01:00,44911.05
2023-01-01 20:45:00+01:00,44156.74
2023-01-01 21:00:00+01:00,44131.86
2023-01-01 21:15:00+01:00,43741.38
2023-01-01 21:30:00+01:00,43440.18
2023-01-01 21:45:00+01:00,43260.69
2023-01-01 22:00:00+01:00,43675.33
2023-01-01 22:15:00+01:00,43109.96
2023-01-01 22:30:00+01:00,42457.99
2023-01-01 22:45:00+01:00,41552.71
2023-01-01 23:00:00+01:00,40885.3
2023-01-01 23:15:00+01:00,39846.33
2023-01-01 23:30:00+01:00,38984.42
2023-01-01 23:45:00+01:00,38248.75
2023-01-02 00:00:00+01:00,37869.94
2023-01-02 00:15:00+01:00,37557.3
2023-01-02 00:30:00+01:00,36853.23
2023-01-02 00:45:00+01:00,36356.93
2023-01-02 01:00:00+01:00,36022.14
2023-01-02 01:15:00+01:00,35645.96
2023-01-02 01:30:00+01:00,35638.88
2023-01-02 01:45:00+01:00,35809.9
2023-01-02 02:00:00+01:00,35728.9
