,Actual Load
2023-01-01 00:00:00+01:00,9911.58
2023-01-01 00:15:00+01:00,9812.9
2023-01-01 00:30:00+01:00,9877.39
2023-01-01 00:45:00+01:00,9860.77
2023-01-01 01:00:00+01:00,9846.87
2023-01-01 01:15:00+01:00,9800.93
2023-01-01 01:30:00+01:00,9746.14
2023-01-01 01:45:00+01:00,9680.19
2023-01-01 02:00:00+01:00,9639.71
2023-01-01 02:15:00+01:00,9613.28
2023-01-01 02:30:00+01:00,9523.78
2023-01-01 02:45:00+01:00,9439.01
2023-01-01 03:00:00+01:00,9398.1
2023-01-01 03:15:00+01:00,9325.19
2023-01-01 03:30:00+01:00,9260.45
2023-01-01 03:45:00+01:00,9201.58
2023-01-01 04:00:00+01:00,9171.62
2023-01-01 04:15:00+01:00,9145.43
2023-01-01 04:30:00+01:00,9135.88
2023-01-01 04:45:00+01:00,9090.32
2023-01-01 05:00:00+01:00,9090.28
2023-01-01 05:15:00+01:00,9070.44
2023-01-01 05:30:00+01:00,9074.05
2023-01-01 05:45:00+01:00,9087.03
2023-01-01 06:00:00+01:00,9146.69
2023-01-01 06:15:00+01:00,9153.12
2023-01-01 06:30:00+01:00,9175.97
2023-01-01 06:45:00+01:00,9229.21
2023-01-01 07:00:00+01:00,9340.32
2023-01-01 07:15:00+01:00,9378.66
2023-01-01 07:30:00+01:00,9438.93
2023-01-01 07:45:00+01:00,9513.41
2023-01-01 08:00:00+01:00,9619.04
2023-01-01 08:15:00+01:00,9716.01
2023-01-01 08:30:00+01:00,9775.47
2023-01-01 08:45:00+01:00,9767.69
2023-01-01 09:00:00+01:00,9908.43
2023-01-01 09:15:00+01:00,10016.73
2023-01-01 09:30:00+01:00,10105.16
2023-01-01 09:45:00+01:00,10169.49
2023-01-01 10:00:00+01:00,10191.53
2023-01-01 10:15:00+01:00,10131.01
2023-01-01 10:30:00+01:00,10042.79
2023-01-01 10:45:00+01:00,9970.03
2023-01-01 11:00:00+01:00,10035.77
2023-01-01 11:15:00+01:00,10092.57
2023-01-01 11:30:00+01:00,10025.31
2023-01-01 11:45:00+01:00,10085.22
2023-01-01 12:00:00+01:00,10271.48
2023-01-01 12:15:00+01:00,10355.15
2023-01-01 12:30:00+01:00,10451.04
2023-01-01 12:45:00+01:00,10494.43
2023-01-01 13:00:00+01:00,10475.7
2023-01-01 13:15:00+01:00,10414.13
2023-01-01 13:30:00+01:00,10405.58
2023-01-01 13:45:00+01:00,10609.37
2023-01-01 14:00:00+01:00,10839.51
2023-01-01 14:15:00+01:00,11010.44
2023-01-01 14:30:00+01:00,11114.85
2023-01-01 14:45:00+01:00,11172.65
2023-01-01 15:00:00+01:00,11267.82
2023-01-01 15:15:00+01:00,11403.55
2023-01-01 15:30:00+01:00,11470.83
2023-01-01 15:45:00+01:00,11472.79
2023-01-01 16:00:00+01:00,11473.89
2023-01-01 16:15:00+01:00,11689.97
2023-01-01 16:30:00+01:00,11891.99
2023-01-01 16:45:00+01:00,12125.44
2023-01-01 17:00:00+01:00,12345.55
2023-01-01 17:15:00+01:00,12556.51
2023-01-01 17:30:00+01:00,12723.19
2023-01-01 17:45:00+01:00,12812.15
2023-01-01 18:00:00+01:00,12735.19
2023-01-01 18:15:00+01:00,12670.61
2023-01-01 18:30:00+01:00,12582.08
2023-01-01 18:45:00+01:00,12501.51
2023-01-01 19:00:00+01:00,12433.71
2023-01-01 19:15:00+01:00,12356.49
2023-01-01 19:30:00+01:00,12306.02
2023-01-01 19:45:00+01:00,12296.3
2023-01-01 20:00:00+01:00,12204.3
2023-01-01 20:15:00+01:00,12106.17
2023-01-01 20:30:00+01:00,11953.77
2023-01-01 20:45:00+01:00,11840.93
2023-01-01 21:00:00+01:00,11734.45
2023-01-01 21:15:00+01:00,11621.55
2023-01-01 21:30:00+01:00,11473.02
2023-01-01 21:45:00+01:00,11365.93
2023-01-01 22:00:00+01:00,11227.64
2023-01-01 22:15:00+01:00,11092.56
2023-01-01 22:30:00+01:00,10893.09
2023-01-01 22:45:00+01:00,10712.76
2023-01-01 23:00:00+01:00,10576.53
2023-01-01 23:15:00+01:00,10408.67
2023-01-01 23:30:00+01:00,10337.7
2023-01-01 23:45:00+01:00,10292.2
2023-01-02 00:00:00+01:00,10230.21
2023-01-02 00:15:00+01:00,10115.76
2023-01-02 00:30:00+01:00,9980.2
2023-01-02 00:45:00+01:00,9851.66
2023-01-02 01:00:00+01:00,9719.33
2023-01-02 01:15:00+01:00,9568.65
2023-01-02 01:30:00+01:00,9390.88
2023-01-02 01:45:00+01:00,9286.22
2023-01-02 02:00:00+01:00,9252.64
