;Actual Load
2023-01-01 00:00:00+01:00;13350
2023-01-01 01:00:00+01:00;13674
2023-01-01 02:00:00+01:00;14709
2023-01-01 03:00:00+01:00;16716
2023-01-01 04:00:00+01:00;22117
2023-01-01 05:00:00+01:00;26113
2023-01-01 06:00:00+01:00;25657
2023-01-01 07:00:00+01:00;25254
2023-01-01 08:00:00+01:00;24271
2023-01-01 09:00:00+01:00;23119
2023-01-01 10:00:00+01:00;22095
2023-01-01 11:00:00+01:00;21453
2023-01-01 12:00:00+01:00;21357
2023-01-01 13:00:00+01:00;21515
2023-01-01 14:00:00+01:00;21888
2023-01-01 15:00:00+01:00;22703
2023-01-01 16:00:00+01:00;23120
2023-01-01 17:00:00+01:00;23042
2023-01-01 18:00:00+01:00;22715
2023-01-01 19:00:00+01:00;22034
2023-01-01 20:00:00+01:00;20021
2023-01-01 21:00:00+01:00;16054
2023-01-01 22:00:00+01:00;13448
2023-01-01 23:00:00+01:00;10972
2023-01-02 00:00:00+01:00;11438
2023-01-02 01:00:00+01:00;11760
2023-01-02 02:00:00+01:00;12576
2023-01-02 03:00:00+01:00;14457
2023-01-02 04:00:00+01:00;19204
2023-01-02 05:00:00+01:00;23187
2023-01-02 06:00:00+01:00;22732
2023-01-02 07:00:00+01:00;22252
2023-01-02 08:00:00+01:00;21285
2023-01-02 09:00:00+01:00;20333
2023-01-02 10:00:00+01:00;19435
2023-01-02 11:00:00+01:00;18791
2023-01-02 12:00:00+01:00;18628
2023-01-02 13:00:00+01:00;18816
2023-01-02 14:00:00+01:00;19135
2023-01-02 15:00:00+01:00;19875
2023-01-02 16:00:00+01:00;20251
2023-01-02 17:00:00+01:00;20302
2023-01-02 18:00:00+01:00;20037
2023-01-02 19:00:00+01:00;19394
2023-01-02 20:00:00+01:00;17642
2023-01-02 21:00:00+01:00;14108
2023-01-02 22:00:00+01:00;11667
2023-01-02 23:00:00+01:00;11252
2023-01-03 00:00:00+01:00;11373
2023-01-03 01:00:00+01:00;11930
2023-01-03 02:00:00+01:00;12732
2023-01-03 03:00:00+01:00;14640
2023-01-03 04:00:00+01:00;19943
2023-01-03 05:00:00+01:00;23608
2023-01-03 06:00:00+01:00;22547
2023-01-03 07:00:00+01:00;22068
2023-01-03 08:00:00+01:00;21100
2023-01-03 09:00:00+01:00;20005
2023-01-03 10:00:00+01:00;19584
2023-01-03 11:00:00+01:00;18738
2023-01-03 12:00:00+01:00;18388
2023-01-03 13:00:00+01:00;18174
2023-01-03 14:00:00+01:00;18594
2023-01-03 15:00:00+01:00;19537
2023-01-03 16:00:00+01:00;20384
2023-01-03 17:00:00+01:00;20512
2023-01-03 18:00:00+01:00;20211
2023-01-03 19:00:00+01:00;19548
2023-01-03 20:00:00+01:00;18046
2023-01-03 21:00:00+01:00;14497
2023-01-03 22:00:00+01:00;12035
2023-01-03 23:00:00+01:00;11867
2023-01-04 00:00:00+01:00;12205
2023-01-04 01:00:00+01:00;12154
2023-01-04 02:00:00+01:00;13227
2023-01-04 03:00:00+01:00;15965
2023-01-04 04:00:00+01:00;21536
2023-01-04 05:00:00+01:00;23386
2023-01-04 06:00:00+01:00;22106
2023-01-04 07:00:00+01:00;21810
2023-01-04 08:00:00+01:00;20972
2023-01-04 09:00:00+01:00;19978
2023-01-04 10:00:00+01:00;19525
2023-01-04 11:00:00+01:00;18878
2023-01-04 12:00:00+01:00;18734
2023-01-04 13:00:00+01:00;19152
2023-01-04 14:00:00+01:00;19587
2023-01-04 15:00:00+01:00;20155
2023-01-04 16:00:00+01:00;21152
2023-01-04 17:00:00+01:00;21348
2023-01-04 18:00:00+01:00;21074
2023-01-04 19:00:00+01:00;20592
2023-01-04 20:00:00+01:00;18845
2023-01-04 21:00:00+01:00;15129
2023-01-04 22:00:00+01:00;12874
2023-01-04 23:00:00+01:00;12721
2023-01-05 00:00:00+01:00;13110
2023-01-05 01:00:00+01:00;13453
2023-01-05 02:00:00+01:00;14582
2023-01-05 03:00:00+01:00;16615
2023-01-05 04:00:00+01:00;22025
2023-01-05 05:00:00+01:00;25995
2023-01-05 06:00:00+01:00;25346
2023-01-05 07:00:00+01:00;24996
2023-01-05 08:00:00+01:00;24063
2023-01-05 09:00:00+01:00;23011
2023-01-05 10:00:00+01:00;21988
2023-01-05 11:00:00+01:00;21272
2023-01-05 12:00:00+01:00;21265
2023-01-05 13:00:00+01:00;21371
2023-01-05 14:00:00+01:00;21703
2023-01-05 15:00:00+01:00;22444
2023-01-05 16:00:00+01:00;23134
2023-01-05 17:00:00+01:00;23216
2023-01-05 18:00:00+01:00;22877
2023-01-05 19:00:00+01:00;21876
2023-01-05 20:00:00+01:00;20028
2023-01-05 21:00:00+01:00;16045
2023-01-05 22:00:00+01:00;13402
2023-01-05 23:00:00+01:00;13222
2023-01-06 00:00:00+01:00;13743
2023-01-06 01:00:00+01:00;14077
2023-01-06 02:00:00+01:00;15138
2023-01-06 03:00:00+01:00;17199
2023-01-06 04:00:00+01:00;22757
2023-01-06 05:00:00+01:00;26868
2023-01-06 06:00:00+01:00;26398
2023-01-06 07:00:00+01:00;25980
2023-01-06 08:00:00+01:00;24969
2023-01-06 09:00:00+01:00;23788
2023-01-06 10:00:00+01:00;22735
2023-01-06 11:00:00+01:00;22074
2023-01-06 12:00:00+01:00;21968
2023-01-06 13:00:00+01:00;22130
2023-01-06 14:00:00+01:00;22511
2023-01-06 15:00:00+01:00;23344
2023-01-06 16:00:00+01:00;23771
2023-01-06 17:00:00+01:00;23690
2023-01-06 18:00:00+01:00;23356
2023-01-06 19:00:00+01:00;22655
2023-01-06 20:00:00+01:00;20585
2023-01-06 21:00:00+01:00;16516
2023-01-06 22:00:00+01:00;13840
2023-01-06 23:00:00+01:00;12504
2023-01-07 00:00:00+01:00;12993
2023-01-07 01:00:00+01:00;13331
2023-01-07 02:00:00+01:00;14356
2023-01-07 03:00:00+01:00;16356
2023-01-07 04:00:00+01:00;21657
2023-01-07 05:00:00+01:00;25586
2023-01-07 06:00:00+01:00;25128
2023-01-07 07:00:00+01:00;24711
2023-01-07 08:00:00+01:00;23727
2023-01-07 09:00:00+01:00;22609
2023-01-07 10:00:00+01:00;21594
2023-01-07 11:00:00+01:00;20981
2023-01-07 12:00:00+01:00;20900
2023-01-07 13:00:00+01:00;21031
2023-01-07 14:00:00+01:00;21407
2023-01-07 15:00:00+01:00;22234
2023-01-07 16:00:00+01:00;22631
2023-01-07 17:00:00+01:00;22580
2023-01-07 18:00:00+01:00;22262
2023-01-07 19:00:00+01:00;21604
2023-01-07 20:00:00+01:00;19625
2023-01-07 21:00:00+01:00;15698
2023-01-07 22:00:00+01:00;13114
2023-01-07 23:00:00+01:00;10691
2023-01-08 00:00:00+01:00;11131
2023-01-08 01:00:00+01:00;11401
2023-01-08 02:00:00+01:00;12321
2023-01-08 03:00:00+01:00;14110
2023-01-08 04:00:00+01:00;18678
2023-01-08 05:00:00+01:00;22074
2023-01-08 06:00:00+01:00;21708
2023-01-08 07:00:00+01:00;21356
2023-01-08 08:00:00+01:00;20465
2023-01-08 09:00:00+01:00;19449
2023-01-08 10:00:00+01:00;18566
2023-01-08 11:00:00+01:00;18026
2023-01-08 12:00:00+01:00;17981
2023-01-08 13:00:00+01:00;18124
2023-01-08 14:00:00+01:00;18454
2023-01-08 15:00:00+01:00;19174
2023-01-08 16:00:00+01:00;19564
2023-01-08 17:00:00+01:00;19523
2023-01-08 18:00:00+01:00;19263
2023-01-08 19:00:00+01:00;18701
2023-01-08 20:00:00+01:00;16987
2023-01-08 21:00:00+01:00;13512
2023-01-08 22:00:00+01:00;11246
2023-01-08 23:00:00+01:00;7572
2023-01-09 00:00:00+01:00;8029
2023-01-09 01:00:00+01:00;8209
2023-01-09 02:00:00+01:00;9124
2023-01-09 03:00:00+01:00;11182
2023-01-09 04:00:00+01:00;14762
2023-01-09 05:00:00+01:00;18128
2023-01-09 06:00:00+01:00;17866
2023-01-09 07:00:00+01:00;17507
2023-01-09 08:00:00+01:00;16169
2023-01-09 09:00:00+01:00;15143
2023-01-09 10:00:00+01:00;14351
2023-01-09 11:00:00+01:00;13895
2023-01-09 12:00:00+01:00;13719
2023-01-09 13:00:00+01:00;13932
2023-01-09 14:00:00+01:00;14192
2023-01-09 15:00:00+01:00;14733
2023-01-09 16:00:00+01:00;15289
2023-01-09 17:00:00+01:00;15587
2023-01-09 18:00:00+01:00;15557
2023-01-09 19:00:00+01:00;15119
2023-01-09 20:00:00+01:00;13672
2023-01-09 21:00:00+01:00;10544
2023-01-09 22:00:00+01:00;8426
2023-01-09 23:00:00+01:00;6063
2023-01-10 00:00:00+01:00;6381
2023-01-10 01:00:00+01:00;6580
2023-01-10 02:00:00+01:00;7385
2023-01-10 03:00:00+01:00;9195
2023-01-10 04:00:00+01:00;12548
2023-01-10 05:00:00+01:00;14771
2023-01-10 06:00:00+01:00;14287
2023-01-10 07:00:00+01:00;13839
2023-01-10 08:00:00+01:00;12882
2023-01-10 09:00:00+01:00;11823
2023-01-10 10:00:00+01:00;11555
2023-01-10 11:00:00+01:00;11165
2023-01-10 12:00:00+01:00;10609
2023-01-10 13:00:00+01:00;10385
2023-01-10 14:00:00+01:00;10834
2023-01-10 15:00:00+01:00;11494
2023-01-10 16:00:00+01:00;12261
2023-01-10 17:00:00+01:00;12653
2023-01-10 18:00:00+01:00;12565
2023-01-10 19:00:00+01:00;12353
2023-01-10 20:00:00+01:00;11131
2023-01-10 21:00:00+01:00;8837
2023-01-10 22:00:00+01:00;6897
2023-01-10 23:00:00+01:00;7843
2023-01-11 00:00:00+01:00;8717
2023-01-11 01:00:00+01:00;8253
2023-01-11 02:00:00+01:00;9246
2023-01-11 03:00:00+01:00;11702
2023-01-11 04:00:00+01:00;16281
2023-01-11 05:00:00+01:00;17544
2023-01-11 06:00:00+01:00;16532
2023-01-11 07:00:00+01:00;15743
2023-01-11 08:00:00+01:00;14919
2023-01-11 09:00:00+01:00;13912
2023-01-11 10:00:00+01:00;13480
2023-01-11 11:00:00+01:00;13052
2023-01-11 12:00:00+01:00;12821
2023-01-11 13:00:00+01:00;13192
2023-01-11 14:00:00+01:00;13357
2023-01-11 15:00:00+01:00;14245
2023-01-11 16:00:00+01:00;15086
2023-01-11 17:00:00+01:00;15365
2023-01-11 18:00:00+01:00;15434
2023-01-11 19:00:00+01:00;15326
2023-01-11 20:00:00+01:00;13798
2023-01-11 21:00:00+01:00;11147
2023-01-11 22:00:00+01:00;8709
2023-01-11 23:00:00+01:00;7504
2023-01-12 00:00:00+01:00;7992
2023-01-12 01:00:00+01:00;8187
2023-01-12 02:00:00+01:00;9176
2023-01-12 03:00:00+01:00;11196
2023-01-12 04:00:00+01:00;14639
2023-01-12 05:00:00+01:00;17440
2023-01-12 06:00:00+01:00;17193
2023-01-12 07:00:00+01:00;16732
2023-01-12 08:00:00+01:00;15613
2023-01-12 09:00:00+01:00;14635
2023-01-12 10:00:00+01:00;13750
2023-01-12 11:00:00+01:00;13468
2023-01-12 12:00:00+01:00;13275
2023-01-12 13:00:00+01:00;13377
2023-01-12 14:00:00+01:00;13670
2023-01-12 15:00:00+01:00;14387
2023-01-12 16:00:00+01:00;14946
2023-01-12 17:00:00+01:00;15366
2023-01-12 18:00:00+01:00;15345
2023-01-12 19:00:00+01:00;14871
2023-01-12 20:00:00+01:00;13434
2023-01-12 21:00:00+01:00;10391
2023-01-12 22:00:00+01:00;8266
2023-01-12 23:00:00+01:00;7118
2023-01-13 00:00:00+01:00;7517
2023-01-13 01:00:00+01:00;7697
2023-01-13 02:00:00+01:00;8633
2023-01-13 03:00:00+01:00;10566
2023-01-13 04:00:00+01:00;13882
2023-01-13 05:00:00+01:00;16611
2023-01-13 06:00:00+01:00;16394
2023-01-13 07:00:00+01:00;16145
2023-01-13 08:00:00+01:00;14888
2023-01-13 09:00:00+01:00;13870
2023-01-13 10:00:00+01:00;13135
2023-01-13 11:00:00+01:00;12767
2023-01-13 12:00:00+01:00;12704
2023-01-13 13:00:00+01:00;12845
2023-01-13 14:00:00+01:00;13103
2023-01-13 15:00:00+01:00;13657
2023-01-13 16:00:00+01:00;14239
2023-01-13 17:00:00+01:00;14385
2023-01-13 18:00:00+01:00;14417
2023-01-13 19:00:00+01:00;14018
2023-01-13 20:00:00+01:00;12662
2023-01-13 21:00:00+01:00;9698
2023-01-13 22:00:00+01:00;7747
2023-01-13 23:00:00+01:00;8696
2023-01-14 00:00:00+01:00;9186
2023-01-14 01:00:00+01:00;9413
2023-01-14 02:00:00+01:00;10509
2023-01-14 03:00:00+01:00;12784
2023-01-14 04:00:00+01:00;16854
2023-01-14 05:00:00+01:00;20146
2023-01-14 06:00:00+01:00;19878
2023-01-14 07:00:00+01:00;19505
2023-01-14 08:00:00+01:00;18051
2023-01-14 09:00:00+01:00;16858
2023-01-14 10:00:00+01:00;15970
2023-01-14 11:00:00+01:00;15531
2023-01-14 12:00:00+01:00;15408
2023-01-14 13:00:00+01:00;15569
2023-01-14 14:00:00+01:00;15873
2023-01-14 15:00:00+01:00;16517
2023-01-14 16:00:00+01:00;17186
2023-01-14 17:00:00+01:00;17346
2023-01-14 18:00:00+01:00;17375
2023-01-14 19:00:00+01:00;16897
2023-01-14 20:00:00+01:00;15281
2023-01-14 21:00:00+01:00;11750
2023-01-14 22:00:00+01:00;9428
2023-01-14 23:00:00+01:00;7826
2023-01-15 00:00:00+01:00;8269
2023-01-15 01:00:00+01:00;8470
2023-01-15 02:00:00+01:00;9487
2023-01-15 03:00:00+01:00;11605
2023-01-15 04:00:00+01:00;15269
2023-01-15 05:00:00+01:00;18262
2023-01-15 06:00:00+01:00;18025
2023-01-15 07:00:00+01:00;17716
2023-01-15 08:00:00+01:00;16350
2023-01-15 09:00:00+01:00;15242
2023-01-15 10:00:00+01:00;14434
2023-01-15 11:00:00+01:00;14027
2023-01-15 12:00:00+01:00;13941
2023-01-15 13:00:00+01:00;14087
2023-01-15 14:00:00+01:00;14365
2023-01-15 15:00:00+01:00;14961
2023-01-15 16:00:00+01:00;15593
2023-01-15 17:00:00+01:00;15752
2023-01-15 18:00:00+01:00;15790
2023-01-15 19:00:00+01:00;15357
2023-01-15 20:00:00+01:00;13873
2023-01-15 21:00:00+01:00;10645
2023-01-15 22:00:00+01:00;8509
2023-01-15 23:00:00+01:00;8452
2023-01-16 00:00:00+01:00;8957
2023-01-16 01:00:00+01:00;9163
2023-01-16 02:00:00+01:00;10156
2023-01-16 03:00:00+01:00;12410
2023-01-16 04:00:00+01:00;16409
2023-01-16 05:00:00+01:00;20125
2023-01-16 06:00:00+01:00;19841
2023-01-16 07:00:00+01:00;19412
2023-01-16 08:00:00+01:00;17960
2023-01-16 09:00:00+01:00;16836
2023-01-16 10:00:00+01:00;15959
2023-01-16 11:00:00+01:00;15449
2023-01-16 12:00:00+01:00;15246
2023-01-16 13:00:00+01:00;15464
2023-01-16 14:00:00+01:00;15747
2023-01-16 15:00:00+01:00;16336
2023-01-16 16:00:00+01:00;16943
2023-01-16 17:00:00+01:00;17260
2023-01-16 18:00:00+01:00;17230
2023-01-16 19:00:00+01:00;16744
2023-01-16 20:00:00+01:00;15150
2023-01-16 21:00:00+01:00;11711
2023-01-16 22:00:00+01:00;9372
2023-01-16 23:00:00+01:00;10794
2023-01-17 00:00:00+01:00;10910
2023-01-17 01:00:00+01:00;11453
2023-01-17 02:00:00+01:00;12220
2023-01-17 03:00:00+01:00;14050
2023-01-17 04:00:00+01:00;19149
2023-01-17 05:00:00+01:00;22654
2023-01-17 06:00:00+01:00;21630
2023-01-17 07:00:00+01:00;21184
2023-01-17 08:00:00+01:00;20257
2023-01-17 09:00:00+01:00;19198
2023-01-17 10:00:00+01:00;18805
2023-01-17 11:00:00+01:00;17990
2023-01-17 12:00:00+01:00;17660
2023-01-17 13:00:00+01:00;17443
2023-01-17 14:00:00+01:00;17852
2023-01-17 15:00:00+01:00;18764
2023-01-17 16:00:00+01:00;19586
2023-01-17 17:00:00+01:00;19707
2023-01-17 18:00:00+01:00;19417
2023-01-17 19:00:00+01:00;18778
2023-01-17 20:00:00+01:00;17334
2023-01-17 21:00:00+01:00;13920
2023-01-17 22:00:00+01:00;11557
2023-01-17 23:00:00+01:00;11718
2023-01-18 00:00:00+01:00;12034
2023-01-18 01:00:00+01:00;11991
2023-01-18 02:00:00+01:00;13039
2023-01-18 03:00:00+01:00;15725
2023-01-18 04:00:00+01:00;21209
2023-01-18 05:00:00+01:00;23042
2023-01-18 06:00:00+01:00;21776
2023-01-18 07:00:00+01:00;21506
2023-01-18 08:00:00+01:00;20687
2023-01-18 09:00:00+01:00;19713
2023-01-18 10:00:00+01:00;19270
2023-01-18 11:00:00+01:00;18630
2023-01-18 12:00:00+01:00;18492
2023-01-18 13:00:00+01:00;18905
2023-01-18 14:00:00+01:00;19337
2023-01-18 15:00:00+01:00;19888
2023-01-18 16:00:00+01:00;20868
2023-01-18 17:00:00+01:00;21057
2023-01-18 18:00:00+01:00;20779
2023-01-18 19:00:00+01:00;20297
2023-01-18 20:00:00+01:00;18578
2023-01-18 21:00:00+01:00;14913
2023-01-18 22:00:00+01:00;12709
2023-01-18 23:00:00+01:00;12956
2023-01-19 00:00:00+01:00;13349
2023-01-19 01:00:00+01:00;13699
2023-01-19 02:00:00+01:00;14838
2023-01-19 03:00:00+01:00;16891
2023-01-19 04:00:00+01:00;22380
2023-01-19 05:00:00+01:00;26412
2023-01-19 06:00:00+01:00;25752
2023-01-19 07:00:00+01:00;25402
2023-01-19 08:00:00+01:00;24463
2023-01-19 09:00:00+01:00;23397
2023-01-19 10:00:00+01:00;22359
2023-01-19 11:00:00+01:00;21635
2023-01-19 12:00:00+01:00;21623
2023-01-19 13:00:00+01:00;21728
2023-01-19 14:00:00+01:00;22059
2023-01-19 15:00:00+01:00;22809
2023-01-19 16:00:00+01:00;23505
2023-01-19 17:00:00+01:00;23584
2023-01-19 18:00:00+01:00;23237
2023-01-19 19:00:00+01:00;22217
2023-01-19 20:00:00+01:00;20342
2023-01-19 21:00:00+01:00;16317
2023-01-19 22:00:00+01:00;13641
2023-01-19 23:00:00+01:00;13543
2023-01-20 00:00:00+01:00;14069
2023-01-20 01:00:00+01:00;14410
2023-01-20 02:00:00+01:00;15486
2023-01-20 03:00:00+01:00;17568
2023-01-20 04:00:00+01:00;23223
2023-01-20 05:00:00+01:00;27417
2023-01-20 06:00:00+01:00;26931
2023-01-20 07:00:00+01:00;26528
2023-01-20 08:00:00+01:00;25498
2023-01-20 09:00:00+01:00;24297
2023-01-20 10:00:00+01:00;23230
2023-01-20 11:00:00+01:00;22557
2023-01-20 12:00:00+01:00;22436
2023-01-20 13:00:00+01:00;22602
2023-01-20 14:00:00+01:00;22986
2023-01-20 15:00:00+01:00;23827
2023-01-20 16:00:00+01:00;24258
2023-01-20 17:00:00+01:00;24171
2023-01-20 18:00:00+01:00;23827
2023-01-20 19:00:00+01:00;23103
2023-01-20 20:00:00+01:00;20991
2023-01-20 21:00:00+01:00;16875
2023-01-20 22:00:00+01:00;14163
2023-01-20 23:00:00+01:00;14278
2023-01-21 00:00:00+01:00;14735
2023-01-21 01:00:00+01:00;15103
2023-01-21 02:00:00+01:00;16185
2023-01-21 03:00:00+01:00;18171
2023-01-21 04:00:00+01:00;23775
2023-01-21 05:00:00+01:00;28073
2023-01-21 06:00:00+01:00;27515
2023-01-21 07:00:00+01:00;27378
2023-01-21 08:00:00+01:00;26253
2023-01-21 09:00:00+01:00;25064
2023-01-21 10:00:00+01:00;24016
2023-01-21 11:00:00+01:00;23362
2023-01-21 12:00:00+01:00;23147
2023-01-21 13:00:00+01:00;23328
2023-01-21 14:00:00+01:00;23684
2023-01-21 15:00:00+01:00;24485
2023-01-21 16:00:00+01:00;24909
2023-01-21 17:00:00+01:00;24800
2023-01-21 18:00:00+01:00;24437
2023-01-21 19:00:00+01:00;23599
2023-01-21 20:00:00+01:00;21422
2023-01-21 21:00:00+01:00;17488
2023-01-21 22:00:00+01:00;14837
2023-01-21 23:00:00+01:00;15421
2023-01-22 00:00:00+01:00;15804
2023-01-22 01:00:00+01:00;16173
2023-01-22 02:00:00+01:00;17219
2023-01-22 03:00:00+01:00;19012
2023-01-22 04:00:00+01:00;24478
2023-01-22 05:00:00+01:00;28891
2023-01-22 06:00:00+01:00;28228
2023-01-22 07:00:00+01:00;28559
2023-01-22 08:00:00+01:00;27337
2023-01-22 09:00:00+01:00;26132
2023-01-22 10:00:00+01:00;25142
2023-01-22 11:00:00+01:00;24476
2023-01-22 12:00:00+01:00;24110
2023-01-22 13:00:00+01:00;24355
2023-01-22 14:00:00+01:00;24650
2023-01-22 15:00:00+01:00;25370
2023-01-22 16:00:00+01:00;25775
2023-01-22 17:00:00+01:00;25594
2023-01-22 18:00:00+01:00;25196
2023-01-22 19:00:00+01:00;24185
2023-01-22 20:00:00+01:00;21942
2023-01-22 21:00:00+01:00;18344
2023-01-22 22:00:00+01:00;15859
2023-01-22 23:00:00+01:00;15448
2023-01-23 00:00:00+01:00;15694
2023-01-23 01:00:00+01:00;16147
2023-01-23 02:00:00+01:00;17102
2023-01-23 03:00:00+01:00;18919
2023-01-23 04:00:00+01:00;24368
2023-01-23 05:00:00+01:00;29323
2023-01-23 06:00:00+01:00;28470
2023-01-23 07:00:00+01:00;28778
2023-01-23 08:00:00+01:00;27602
2023-01-23 09:00:00+01:00;26488
2023-01-23 10:00:00+01:00;25497
2023-01-23 11:00:00+01:00;24830
2023-01-23 12:00:00+01:00;24315
2023-01-23 13:00:00+01:00;24663
2023-01-23 14:00:00+01:00;24910
2023-01-23 15:00:00+01:00;25660
2023-01-23 16:00:00+01:00;25891
2023-01-23 17:00:00+01:00;25925
2023-01-23 18:00:00+01:00;25369
2023-01-23 19:00:00+01:00;24321
2023-01-23 20:00:00+01:00;22062
2023-01-23 21:00:00+01:00;18542
2023-01-23 22:00:00+01:00;16030
2023-01-23 23:00:00+01:00;13774
2023-01-24 00:00:00+01:00;13953
2023-01-24 01:00:00+01:00;14486
2023-01-24 02:00:00+01:00;15345
2023-01-24 03:00:00+01:00;17429
2023-01-24 04:00:00+01:00;23341
2023-01-24 05:00:00+01:00;27533
2023-01-24 06:00:00+01:00;26384
2023-01-24 07:00:00+01:00;25846
2023-01-24 08:00:00+01:00;24900
2023-01-24 09:00:00+01:00;23728
2023-01-24 10:00:00+01:00;23183
2023-01-24 11:00:00+01:00;22343
2023-01-24 12:00:00+01:00;21934
2023-01-24 13:00:00+01:00;21767
2023-01-24 14:00:00+01:00;22042
2023-01-24 15:00:00+01:00;23080
2023-01-24 16:00:00+01:00;23862
2023-01-24 17:00:00+01:00;23927
2023-01-24 18:00:00+01:00;23582
2023-01-24 19:00:00+01:00;22817
2023-01-24 20:00:00+01:00;20983
2023-01-24 21:00:00+01:00;17213
2023-01-24 22:00:00+01:00;14529
2023-01-24 23:00:00+01:00;12903
2023-01-25 00:00:00+01:00;13257
2023-01-25 01:00:00+01:00;13230
2023-01-25 02:00:00+01:00;14364
2023-01-25 03:00:00+01:00;17216
2023-01-25 04:00:00+01:00;23160
2023-01-25 05:00:00+01:00;25164
2023-01-25 06:00:00+01:00;23810
2023-01-25 07:00:00+01:00;23506
2023-01-25 08:00:00+01:00;22614
2023-01-25 09:00:00+01:00;21575
2023-01-25 10:00:00+01:00;21089
2023-01-25 11:00:00+01:00;20396
2023-01-25 12:00:00+01:00;20231
2023-01-25 13:00:00+01:00;20652
2023-01-25 14:00:00+01:00;21116
2023-01-25 15:00:00+01:00;21733
2023-01-25 16:00:00+01:00;22760
2023-01-25 17:00:00+01:00;22943
2023-01-25 18:00:00+01:00;22643
2023-01-25 19:00:00+01:00;22108
2023-01-25 20:00:00+01:00;20259
2023-01-25 21:00:00+01:00;16331
2023-01-25 22:00:00+01:00;13918
2023-01-25 23:00:00+01:00;11193
2023-01-26 00:00:00+01:00;11570
2023-01-26 01:00:00+01:00;11873
2023-01-26 02:00:00+01:00;12928
2023-01-26 03:00:00+01:00;14848
2023-01-26 04:00:00+01:00;19671
2023-01-26 05:00:00+01:00;23242
2023-01-26 06:00:00+01:00;22685
2023-01-26 07:00:00+01:00;22348
2023-01-26 08:00:00+01:00;21436
2023-01-26 09:00:00+01:00;20456
2023-01-26 10:00:00+01:00;19512
2023-01-26 11:00:00+01:00;18893
2023-01-26 12:00:00+01:00;18879
2023-01-26 13:00:00+01:00;18983
2023-01-26 14:00:00+01:00;19301
2023-01-26 15:00:00+01:00;20002
2023-01-26 16:00:00+01:00;20638
2023-01-26 17:00:00+01:00;20766
2023-01-26 18:00:00+01:00;20489
2023-01-26 19:00:00+01:00;19621
2023-01-26 20:00:00+01:00;17936
2023-01-26 21:00:00+01:00;14281
2023-01-26 22:00:00+01:00;11855
2023-01-26 23:00:00+01:00;10923
2023-01-27 00:00:00+01:00;11387
2023-01-27 01:00:00+01:00;11664
2023-01-27 02:00:00+01:00;12630
2023-01-27 03:00:00+01:00;14529
2023-01-27 04:00:00+01:00;19236
2023-01-27 05:00:00+01:00;22751
2023-01-27 06:00:00+01:00;22380
2023-01-27 07:00:00+01:00;21999
2023-01-27 08:00:00+01:00;21029
2023-01-27 09:00:00+01:00;19963
2023-01-27 10:00:00+01:00;19045
2023-01-27 11:00:00+01:00;18492
2023-01-27 12:00:00+01:00;18434
2023-01-27 13:00:00+01:00;18579
2023-01-27 14:00:00+01:00;18918
2023-01-27 15:00:00+01:00;19653
2023-01-27 16:00:00+01:00;20081
2023-01-27 17:00:00+01:00;20055
2023-01-27 18:00:00+01:00;19813
2023-01-27 19:00:00+01:00;19240
2023-01-27 20:00:00+01:00;17470
2023-01-27 21:00:00+01:00;13868
