;Actual Load
2023-01-01 00:00:00+01:00;89418
2023-01-01 01:00:00+01:00;91566
2023-01-01 02:00:00+01:00;98195
2023-01-01 03:00:00+01:00;111113
2023-01-01 04:00:00+01:00;146802
2023-01-01 05:00:00+01:00;173486
2023-01-01 06:00:00+01:00;169575
2023-01-01 07:00:00+01:00;167672
2023-01-01 08:00:00+01:00;161019
2023-01-01 09:00:00+01:00;153654
2023-01-01 10:00:00+01:00;147147
2023-01-01 11:00:00+01:00;143066
2023-01-01 12:00:00+01:00;142010
2023-01-01 13:00:00+01:00;143196
2023-01-01 14:00:00+01:00;145572
2023-01-01 15:00:00+01:00;150791
2023-01-01 16:00:00+01:00;153642
2023-01-01 17:00:00+01:00;153144
2023-01-01 18:00:00+01:00;151090
2023-01-01 19:00:00+01:00;146156
2023-01-01 20:00:00+01:00;132650
2023-01-01 21:00:00+01:00;107332
2023-01-01 22:00:00+01:00;90202
2023-01-01 23:00:00+01:00;78712
2023-01-02 00:00:00+01:00;81486
2023-01-02 01:00:00+01:00;83784
2023-01-02 02:00:00+01:00;89275
2023-01-02 03:00:00+01:00;101733
2023-01-02 04:00:00+01:00;134961
2023-01-02 05:00:00+01:00;162437
2023-01-02 06:00:00+01:00;158402
2023-01-02 07:00:00+01:00;155956
2023-01-02 08:00:00+01:00;149546
2023-01-02 09:00:00+01:00;143174
2023-01-02 10:00:00+01:00;137161
2023-01-02 11:00:00+01:00;132985
2023-01-02 12:00:00+01:00;131479
2023-01-02 13:00:00+01:00;132897
2023-01-02 14:00:00+01:00;134979
2023-01-02 15:00:00+01:00;139971
2023-01-02 16:00:00+01:00;142390
2023-01-02 17:00:00+01:00;142739
2023-01-02 18:00:00+01:00;140717
2023-01-02 19:00:00+01:00;135842
2023-01-02 20:00:00+01:00;123391
2023-01-02 21:00:00+01:00;99764
2023-01-02 22:00:00+01:00;83155
2023-01-02 23:00:00+01:00;75808
2023-01-03 00:00:00+01:00;76750
2023-01-03 01:00:00+01:00;80220
2023-01-03 02:00:00+01:00;85638
2023-01-03 03:00:00+01:00;98607
2023-01-03 04:00:00+01:00;134643
2023-01-03 05:00:00+01:00;159571
2023-01-03 06:00:00+01:00;152321
2023-01-03 07:00:00+01:00;148777
2023-01-03 08:00:00+01:00;142378
2023-01-03 09:00:00+01:00;135328
2023-01-03 10:00:00+01:00;132137
2023-01-03 11:00:00+01:00;126734
2023-01-03 12:00:00+01:00;124527
2023-01-03 13:00:00+01:00;123557
2023-01-03 14:00:00+01:00;126248
2023-01-03 15:00:00+01:00;132483
2023-01-03 16:00:00+01:00;137934
2023-01-03 17:00:00+01:00;138829
2023-01-03 18:00:00+01:00;136937
2023-01-03 19:00:00+01:00;132376
2023-01-03 20:00:00+01:00;121981
2023-01-03 21:00:00+01:00;97828
2023-01-03 22:00:00+01:00;80954
2023-01-03 23:00:00+01:00;77961
2023-01-04 00:00:00+01:00;80207
2023-01-04 01:00:00+01:00;80155
2023-01-04 02:00:00+01:00;87200
2023-01-04 03:00:00+01:00;104942
2023-01-04 04:00:00+01:00;141890
2023-01-04 05:00:00+01:00;154896
2023-01-04 06:00:00+01:00;146518
2023-01-04 07:00:00+01:00;144260
2023-01-04 08:00:00+01:00;138740
2023-01-04 09:00:00+01:00;132366
2023-01-04 10:00:00+01:00;129196
2023-01-04 11:00:00+01:00;125082
2023-01-04 12:00:00+01:00;124186
2023-01-04 13:00:00+01:00;126814
2023-01-04 14:00:00+01:00;129710
2023-01-04 15:00:00+01:00;133587
2023-01-04 16:00:00+01:00;139967
2023-01-04 17:00:00+01:00;141283
2023-01-04 18:00:00+01:00;139575
2023-01-04 19:00:00+01:00;136174
2023-01-04 20:00:00+01:00;124542
2023-01-04 21:00:00+01:00;99767
2023-01-04 22:00:00+01:00;84487
2023-01-04 23:00:00+01:00;82209
2023-01-05 00:00:00+01:00;84766
2023-01-05 01:00:00+01:00;86958
2023-01-05 02:00:00+01:00;94031
2023-01-05 03:00:00+01:00;107268
2023-01-05 04:00:00+01:00;142648
2023-01-05 05:00:00+01:00;168346
2023-01-05 06:00:00+01:00;163733
2023-01-05 07:00:00+01:00;161315
2023-01-05 08:00:00+01:00;155417
2023-01-05 09:00:00+01:00;148686
2023-01-05 10:00:00+01:00;142151
2023-01-05 11:00:00+01:00;137800
2023-01-05 12:00:00+01:00;137554
2023-01-05 13:00:00+01:00;138283
2023-01-05 14:00:00+01:00;140377
2023-01-05 15:00:00+01:00;145268
2023-01-05 16:00:00+01:00;149699
2023-01-05 17:00:00+01:00;150307
2023-01-05 18:00:00+01:00;148234
2023-01-05 19:00:00+01:00;141808
2023-01-05 20:00:00+01:00;129623
2023-01-05 21:00:00+01:00;104031
2023-01-05 22:00:00+01:00;86672
2023-01-05 23:00:00+01:00;88140
2023-01-06 00:00:00+01:00;91205
2023-01-06 01:00:00+01:00;93399
2023-01-06 02:00:00+01:00;100082
2023-01-06 03:00:00+01:00;113047
2023-01-06 04:00:00+01:00;149085
2023-01-06 05:00:00+01:00;176015
2023-01-06 06:00:00+01:00;172045
2023-01-06 07:00:00+01:00;170468
2023-01-06 08:00:00+01:00;163710
2023-01-06 09:00:00+01:00;156274
2023-01-06 10:00:00+01:00;149722
2023-01-06 11:00:00+01:00;145607
2023-01-06 12:00:00+01:00;144415
2023-01-06 13:00:00+01:00;145661
2023-01-06 14:00:00+01:00;147989
2023-01-06 15:00:00+01:00;153202
2023-01-06 16:00:00+01:00;156039
2023-01-06 17:00:00+01:00;155511
2023-01-06 18:00:00+01:00;153380
2023-01-06 19:00:00+01:00;148255
2023-01-06 20:00:00+01:00;134514
2023-01-06 21:00:00+01:00;109116
2023-01-06 22:00:00+01:00;91931
2023-01-06 23:00:00+01:00;84661
2023-01-07 00:00:00+01:00;87675
2023-01-07 01:00:00+01:00;89898
2023-01-07 02:00:00+01:00;96533
2023-01-07 03:00:00+01:00;109489
2023-01-07 04:00:00+01:00;144916
2023-01-07 05:00:00+01:00;171202
2023-01-07 06:00:00+01:00;167386
2023-01-07 07:00:00+01:00;165285
2023-01-07 08:00:00+01:00;158670
2023-01-07 09:00:00+01:00;151471
2023-01-07 10:00:00+01:00;144975
2023-01-07 11:00:00+01:00;141047
2023-01-07 12:00:00+01:00;140094
2023-01-07 13:00:00+01:00;141145
2023-01-07 14:00:00+01:00;143535
2023-01-07 15:00:00+01:00;148805
2023-01-07 16:00:00+01:00;151589
2023-01-07 17:00:00+01:00;151244
2023-01-07 18:00:00+01:00;149214
2023-01-07 19:00:00+01:00;144397
2023-01-07 20:00:00+01:00;131000
2023-01-07 21:00:00+01:00;105687
2023-01-07 22:00:00+01:00;88580
2023-01-07 23:00:00+01:00;75163
2023-01-08 00:00:00+01:00;78202
2023-01-08 01:00:00+01:00;80103
2023-01-08 02:00:00+01:00;86241
2023-01-08 03:00:00+01:00;98508
2023-01-08 04:00:00+01:00;131336
2023-01-08 05:00:00+01:00;155086
2023-01-08 06:00:00+01:00;151930
2023-01-08 07:00:00+01:00;149136
2023-01-08 08:00:00+01:00;143372
2023-01-08 09:00:00+01:00;136621
2023-01-08 10:00:00+01:00;130588
2023-01-08 11:00:00+01:00;126879
2023-01-08 12:00:00+01:00;126440
2023-01-08 13:00:00+01:00;127430
2023-01-08 14:00:00+01:00;129749
2023-01-08 15:00:00+01:00;134738
2023-01-08 16:00:00+01:00;137418
2023-01-08 17:00:00+01:00;137156
