;Actual Load
2023-01-01 00:00:00+01:00;65558
2023-01-01 01:00:00+01:00;67098
2023-01-01 02:00:00+01:00;71892
2023-01-01 03:00:00+01:00;80991
2023-01-01 04:00:00+01:00;106216
2023-01-01 05:00:00+01:00;125926
2023-01-01 06:00:00+01:00;123165
2023-01-01 07:00:00+01:00;122453
2023-01-01 08:00:00+01:00;117087
2023-01-01 09:00:00+01:00;111589
2023-01-01 10:00:00+01:00;107017
2023-01-01 11:00:00+01:00;104032
2023-01-01 12:00:00+01:00;102631
2023-01-01 13:00:00+01:00;103456
2023-01-01 14:00:00+01:00;104861
2023-01-01 15:00:00+01:00;108308
2023-01-01 16:00:00+01:00;110448
2023-01-01 17:00:00+01:00;109969
2023-01-01 18:00:00+01:00;108650
2023-01-01 19:00:00+01:00;104916
2023-01-01 20:00:00+01:00;95251
2023-01-01 21:00:00+01:00;78032
2023-01-01 22:00:00+01:00;66087
2023-01-01 23:00:00+01:00;54587
2023-01-02 00:00:00+01:00;56612
2023-01-02 01:00:00+01:00;58163
2023-01-02 02:00:00+01:00;62195
2023-01-02 03:00:00+01:00;71439
2023-01-02 04:00:00+01:00;95009
2023-01-02 05:00:00+01:00;115011
2023-01-02 06:00:00+01:00;112478
2023-01-02 07:00:00+01:00;110312
2023-01-02 08:00:00+01:00;105309
2023-01-02 09:00:00+01:00;100474
2023-01-02 10:00:00+01:00;96127
2023-01-02 11:00:00+01:00;93124
2023-01-02 12:00:00+01:00;91716
2023-01-02 13:00:00+01:00;92586
2023-01-02 14:00:00+01:00;93878
2023-01-02 15:00:00+01:00;97279
2023-01-02 16:00:00+01:00;99185
2023-01-02 17:00:00+01:00;99588
2023-01-02 18:00:00+01:00;98452
2023-01-02 19:00:00+01:00;95206
2023-01-02 20:00:00+01:00;86563
2023-01-02 21:00:00+01:00;69835
2023-01-02 22:00:00+01:00;57929
2023-01-02 23:00:00+01:00;43188
2023-01-03 00:00:00+01:00;44259
2023-01-03 01:00:00+01:00;45931
2023-01-03 02:00:00+01:00;50088
2023-01-03 03:00:00+01:00;59903
2023-01-03 04:00:00+01:00;82271
2023-01-03 05:00:00+01:00;97873
2023-01-03 06:00:00+01:00;94198
2023-01-03 07:00:00+01:00;90945
2023-01-03 08:00:00+01:00;85872
2023-01-03 09:00:00+01:00;80543
2023-01-03 10:00:00+01:00;78379
2023-01-03 11:00:00+01:00;75315
2023-01-03 12:00:00+01:00;72647
2023-01-03 13:00:00+01:00;71820
2023-01-03 14:00:00+01:00;73736
2023-01-03 15:00:00+01:00;77579
2023-01-03 16:00:00+01:00;81539
2023-01-03 17:00:00+01:00;83033
2023-01-03 18:00:00+01:00;82372
2023-01-03 19:00:00+01:00;80280
2023-01-03 20:00:00+01:00;73562
2023-01-03 21:00:00+01:00;58674
2023-01-03 22:00:00+01:00;47131
2023-01-03 23:00:00+01:00;41311
2023-01-04 00:00:00+01:00;43891
2023-01-04 01:00:00+01:00;43017
2023-01-04 02:00:00+01:00;47678
2023-01-04 03:00:00+01:00;59365
2023-01-04 04:00:00+01:00;81921
2023-01-04 05:00:00+01:00;88695
